"ST","state_name","state_abbr","num_obs"
1,"Alabama","AL",92606
2,"Alaska","AK",14062
4,"Arizona","AZ",131771
5,"Arkansas","AR",58866
6,"California","CA",801343
8,"Colorado","CO",125556
9,"Connecticut","CT",84051
10,"Delaware","DE",19942
11,"District of Columbia","DC",40483
12,"Florida","FL",399139
13,"Georgia","GA",203621
15,"Hawaii","HI",31439
16,"Idaho","ID",31942
17,"Illinois","IL",288825
18,"Indiana","IN",145936
19,"Iowa","IA",77777
20,"Kansas","KS",67998
21,"Kentucky","KY",92499
22,"Louisiana","LA",91608
23,"Maine","ME",28728
24,"Maryland","MD",129609
25,"Massachusetts","MA",171184
26,"Michigan","MI",206741
27,"Minnesota","MN",135592
28,"Mississippi","MS",53280
29,"Missouri","MO",136273
30,"Montana","MT",22141
31,"Nebraska","NE",47694
32,"Nevada","NV",58755
33,"New Hampshire","NH",32258
34,"New Jersey","NJ",187669
35,"New Mexico","NM",38129
36,"New York","NY",457803
37,"North Carolina","NC",207220
38,"North Dakota","ND",20881
39,"Ohio","OH",263045
40,"Oklahoma","OK",76016
41,"Oregon","OR",88272
42,"Pennslyvania","PA",288634
44,"Rhode Island","RI",23885
45,"South Carolina","SC",97526
46,"South Dakota","SD",20925
47,"Tennessee","TN",140271
48,"Texas","TX",557183
49,"Utah","UT",63967
50,"Vermont","VT",16067
51,"Virginia","VA",187171
53,"Washington","WA",153518
54,"West Virginia","WV",35188
55,"Wisconsin","WI",138470
56,"Wyoming","WY",14055
