"","length_own","length_matdis","length_bond","length_illchild","length_illparent","length_illspouse","resp_len","unaffordable","recStatePay","weight"
"181",0,0,0,0,0,0,0,NA,NA,18456.4658330518
"709",0,0,0,0,0,0,0,NA,NA,80923.7389989408
"253",45,0,0,0,0,0,0,NA,0,12189.6216935909
"581",0,0,0,0,0,0,0,NA,NA,45803.1371376308
"90",0,30,0,0,0,0,1,NA,0,15449.2846314083
"1102",0,0,0,0,0,0,0,NA,NA,60956.1963471519
"1212",30,0,0,0,0,0,0,NA,0,32010.7368803833
"1068",90,0,0,0,0,0,1,NA,0,60021.3350662354
"1002",0,0,0,0,0,0,0,NA,NA,22968.4099257613
"2251",0,0,0,0,0,0,0,NA,NA,108347.061033513
"2046",15,0,0,0,0,0,0,NA,0,9606.77856654345
"42",0,0,0,0,0,0,0,0,NA,8581.73318199383
"271",0,0,0,0,0,0,0,NA,NA,27332.7172986912
"2425",0,0,0,0,0,0,0,NA,NA,49944.0879407732
"1937",0,0,0,0,0,0,0,0,NA,51714.6942512444
"1086",0,0,0,0,0,0,0,NA,NA,30852.5027154098
"926",0,0,0,0,0,0,0,NA,NA,24231.1412607864
"564",0,0,0,0,0,0,0,NA,NA,44228.9573488463
"2463",0,30,0,0,0,0,0,NA,0,14998.2163704573
"752",0,0,0,0,0,0,0,NA,NA,19429.8135246217
"2672",0,0,0,0,0,0,0,NA,NA,90306.1758503496
"2109",15,0,0,0,0,0,0,NA,0,14285.6699767864
"2802",0,0,70,0,0,0,1,NA,0,17527.2577108198
"48",0,0,0,0,0,0,0,NA,NA,312165.607340393
"704",0,0,0,0,0,0,1,1,NA,9921.61452430036
"997",40,0,0,0,0,0,0,NA,0,6525.97030962102
"2480",0,0,0,0,0,0,1,NA,0,20787.8222032299
"582",0,0,0,0,0,10,0,NA,0,14325.1247972051
"2597",0,0,0,0,13,0,0,NA,0,14939.3790204942
"58",113,0,0,0,0,0,0,NA,0,13818.5657626225
"2237",0,0,0,0,0,0,0,0,NA,13161.3067119389
"2459",0,0,0,0,0,0,0,NA,NA,39786.2772800647
"342",15,0,0,0,0,0,1,NA,0,7035.35304123334
"1200",0,0,0,0,0,0,0,NA,NA,334493.393870968
"1663",0,0,0,0,0,0,1,1,NA,10943.5479748915
"2162",106,0,0,0,0,0,1,NA,0,20475.187197096
"1033",0,0,0,0,0,0,0,NA,NA,246897.275997547
"2651",10,0,0,0,0,0,1,NA,0,6209.54827667585
"1570",0,0,0,0,0,0,0,NA,NA,42122.251733565
"1890",0,0,0,0,8,0,0,NA,0,7736.46481911691
"1896",0,0,0,0,10,0,1,NA,0,6791.39119172948
"984",0,0,0,0,0,0,0,NA,NA,32380.5666221551
"1135",0,0,0,0,0,0,1,1,NA,36191.1327014489
"2384",0,0,0,0,0,0,0,0,NA,5256.31686221133
"1575",0,0,0,0,0,0,0,NA,NA,16431.0478257157
"1558",0,0,0,0,0,0,0,NA,NA,37736.7431078623
"839",0,0,0,0,0,0,0,NA,NA,9921.61452430036
"55",45,0,0,0,0,0,0,NA,1,11596.5115059624
"1023",0,0,0,0,0,0,0,NA,NA,124633.351841008
"144",50,0,0,0,0,0,1,NA,0,9151.34255045132
"780",0,0,0,0,0,0,0,NA,NA,16278.5488353115
"2166",10,0,0,0,0,0,1,NA,0,7814.90754162918
"2343",0,0,0,0,0,0,0,NA,0,12823.1985468192
"119",0,0,0,0,0,0,1,NA,0,15811.1126778981
"951",0,0,0,0,0,0,1,1,NA,73588.7524946603
"1115",0,0,45,0,0,0,1,NA,0,16154.5988761368
"2257",0,0,0,0,0,0,0,NA,NA,6555.79144081484
"1498",30,0,0,0,0,0,0,0,1,30486.2844686016
"315",60,0,0,0,0,0,0,NA,0,10060.9505769556
"1561",3,0,0,0,0,0,1,0,0,9503.47106105691
"1155",0,0,0,0,0,0,0,NA,NA,52869.1602685748
"2265",0,0,0,0,0,0,1,1,NA,22483.7695219769
"616",4,0,0,0,0,0,0,NA,0,29017.6676750449
"230",0,0,0,0,0,0,0,NA,NA,14528.4901645697
"1215",45,0,0,0,0,0,0,NA,0,7132.18629132531
"570",0,68,0,0,0,0,1,NA,0,7538.05028311226
"2139",0,0,0,0,0,0,0,0,NA,23794.7910420922
"2791",10,0,0,0,0,0,0,NA,0,8334.65817328197
"2433",0,0,0,0,0,0,0,NA,NA,99117.4074213999
"2156",10,0,0,0,0,0,1,0,0,16420.6158948596
"221",0,0,0,0,0,6,0,NA,0,8166.47191340664
"2382",0,0,0,0,0,0,0,NA,NA,26917.8679576949
"1899",50,0,0,0,0,0,0,0,0,12531.832573457
"484",0,0,0,0,0,0,0,0,NA,21732.9468111461
"526",15,0,0,0,0,0,0,NA,0,22875.0205757622
"1343",0,0,0,0,0,0,0,NA,NA,12531.832573457
"1509",0,0,0,0,0,0,1,1,NA,16263.9823131638
"400",5,0,0,0,0,0,0,NA,0,35225.9092900103
"1279",0,0,0,0,0,0,0,0,NA,12405.3534189853
"2541",0,0,68,0,0,0,1,NA,0,13420.3485148764
"2839",68,0,0,0,0,0,1,NA,1,10363.5968910684
"155",5,0,0,0,0,0,0,1,0,15346.0563652886
"810",0,0,0,0,8,0,1,0,0,11568.5587001765
"1856",10,0,0,0,0,0,0,NA,0,15057.7289939228
"2246",8,0,0,0,0,0,1,NA,0,80190.5301208536
"330",0,0,0,0,0,0,0,NA,NA,10873.7040810181
"1599",20,0,0,0,0,0,0,NA,0,7818.68325089123
"1320",45,0,0,0,0,0,0,NA,0,7476.56301642918
"2636",0,0,0,0,0,0,0,NA,NA,111947.736186325
"864",0,0,0,0,0,20,0,NA,0,11195.2908673472
"2400",4,0,0,0,0,0,0,NA,0,14124.5225105657
"866",0,0,0,0,0,0,0,NA,NA,265510.562966697
"2224",0,0,0,0,0,0,1,NA,NA,10031.3482554034
"84",0,0,0,0,0,0,0,NA,NA,37258.0270396791
"2219",0,0,0,0,0,0,0,NA,NA,257091.816800892
"1442",0,0,0,0,0,0,0,NA,NA,38861.7626356553
"1917",0,0,0,0,0,0,1,1,NA,11926.6963628654
"282",0,0,0,0,0,0,0,NA,NA,9152.65762917339
"685",0,0,0,0,0,0,0,NA,NA,59593.690197208
"572",0,0,0,10,0,0,1,NA,0,7266.18147688511
"2804",0,0,0,0,0,0,0,NA,NA,79294.7163563179
"2761",40,0,0,0,0,0,0,NA,NA,18151.027154021
"2748",0,0,0,0,0,0,0,NA,NA,30010.5440618619
"129",0,0,0,0,0,0,0,NA,NA,102039.81066578
"1516",0,0,0,0,0,0,0,NA,NA,199640.593633071
"1492",0,0,0,0,0,0,0,NA,NA,149067.145331846
"1546",0,0,0,0,0,0,0,NA,NA,291665.273473705
"1191",0,0,0,0,0,0,0,NA,NA,37085.3750405409
"2444",0,0,0,0,0,0,0,NA,NA,79297.1183940927
"646",0,0,0,0,0,0,0,NA,NA,22740.2045028792
"317",0,0,0,4,0,0,0,NA,0,10057.062312194
"2477",15,0,0,0,0,0,0,NA,0,15761.9426448215
"1632",0,0,0,0,0,0,0,NA,NA,20290.7714327036
"348",0,0,0,0,0,0,0,NA,NA,183086.900807436
"920",0,0,0,0,0,0,0,NA,NA,13567.2048496841
"995",0,0,0,0,0,0,0,NA,NA,87446.5451510462
"1162",0,0,0,0,15,0,0,NA,0,9472.26190881856
"2093",0,0,0,0,0,0,0,NA,NA,61812.5961718216
"1582",0,0,0,0,0,0,0,0,NA,7211.50990048681
"417",135,0,0,0,0,0,0,NA,0,5760.127052792
"1356",0,0,0,0,0,0,1,NA,0,99169.3762724205
"461",0,0,0,0,0,0,0,NA,NA,15762.8250170556
"2724",0,0,0,0,0,0,0,NA,NA,18822.2222668441
"1293",0,0,0,0,0,20,0,NA,0,24313.4058905289
"15",0,0,0,0,0,0,0,NA,NA,37234.6530551207
"2605",0,0,0,0,0,0,0,NA,NA,27618.3937922996
"1364",10,0,0,0,0,0,0,NA,0,15451.6097320639
"45",0,0,0,0,0,0,0,NA,NA,282511.482965192
"258",0,0,0,0,0,0,0,NA,NA,12823.1985468192
"1087",10,0,0,0,0,0,0,NA,0,12189.6216935909
"269",30,0,0,0,0,0,1,NA,0,11473.6478835334
"2680",14,0,0,0,0,0,1,NA,0,18361.4304316622
"1316",180,0,0,0,0,0,0,NA,0,16340.5800548416
"1745",20,0,0,0,0,0,0,NA,0,6121.11710777881
"1411",0,0,0,0,60,0,1,0,0,12593.4641164252
"2816",0,0,0,0,0,0,0,0,NA,10879.5607575657
"1633",0,0,68,0,0,0,1,NA,0,13420.3485148764
"743",0,0,15,0,0,0,1,NA,0,18292.5131884092
"2184",10,0,0,0,0,0,1,NA,0,9981.55774100768
"651",0,0,0,0,0,0,0,NA,NA,102280.334704666
"836",0,0,0,0,0,0,0,NA,NA,66031.0782913953
"2387",0,0,0,0,0,0,1,1,NA,14168.5896213084
"1055",0,60,0,0,0,0,0,0,0,19045.8169097139
"1303",0,0,0,0,0,0,0,NA,NA,60311.0572502252
"480",7,0,0,0,0,0,1,NA,0,6880.86482738606
"222",7,0,0,0,0,0,0,NA,0,11602.3674768742
"2460",0,0,0,0,0,0,0,NA,NA,33577.879598275
"2089",60,0,0,0,0,0,0,NA,0,17100.6046204037
"2416",0,0,0,0,0,0,0,NA,NA,18316.082008766
"1782",35,0,0,0,0,0,1,NA,0,10917.0339935188
"73",0,0,0,0,0,0,1,1,NA,11770.6647404374
"331",0,0,0,0,0,0,0,NA,NA,178739.265464043
"2755",0,0,0,0,NA,0,0,NA,0,12291.3271605139
"1420",0,0,0,0,0,0,0,NA,NA,76210.175792787
"1361",0,30,0,0,0,0,0,NA,NA,96706.1863506694
"2414",0,0,0,50,0,0,1,0,0,15637.1847046796
"2564",0,0,0,0,0,135,0,NA,0,7594.2121080529
"1256",0,0,0,0,0,0,0,NA,NA,130784.404304603
"2182",0,0,0,0,15,0,0,NA,NA,10916.987824325
"379",0,60,0,0,0,0,0,NA,0,23401.8199665181
"1794",0,0,0,0,0,0,0,NA,NA,25579.0394602884
"1539",0,0,0,0,0,0,0,NA,NA,59284.991175678
"740",0,0,0,0,0,0,0,NA,NA,75875.2229445771
"589",0,0,0,0,0,0,0,NA,NA,247635.99441027
"1763",203,0,0,0,0,0,0,NA,0,45083.1173192787
"2381",0,0,0,0,0,0,0,NA,NA,23631.42045006
"803",0,0,0,0,0,0,0,NA,NA,20569.2548132081
"705",0,0,0,0,0,0,0,0,NA,23306.5244221957
"1726",0,0,0,0,0,0,0,NA,NA,55828.5463304562
"2454",0,0,0,0,5,0,0,NA,0,8718.24255278713
"1214",0,0,0,0,0,0,0,NA,NA,33631.4013243108
"806",0,0,0,0,0,0,0,NA,NA,24663.1534222441
