"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0286785780213161,0.00131767228245367,"[ 0.026 , 0.031 ]",14759,684.508363718078,"[ 13,417 , 16,101 ]"
"Participated for illspouse leave",0.0102072342534029,0.000646069851434979,"[ 0.0089 , 0.011 ]",5253,332.91124943444,"[ 4,600 , 5,906 ]"
"Participated for illchild leave",0.000656776161745703,0.000185551425865352,"[ 0.00029 , 0.001 ]",338,95.3703308162449,"[ 151 , 525 ]"
"Participated for illparent leave",0.0116995540528724,0.000943315810081972,"[ 0.0099 , 0.014 ]",6021,489.399376787507,"[ 5,062 , 6,980 ]"
"Participated for matdis leave",0.0226140857112322,0.0011064288378136,"[ 0.02 , 0.025 ]",11638,580.608904513184,"[ 10,500 , 12,776 ]"
"Participated for bond leave",0.00200919098001496,0.000342744469754826,"[ 0.0013 , 0.0027 ]",1034,176.969912697046,"[ 687 , 1,381 ]"
"Participated for  for own illness or maternal disability leave",0.0507971669241307,0.00173439306667061,"[ 0.047 , 0.054 ]",26142,914.455329690849,"[ 24,350 , 27,934 ]"
"Participated for ill relative or child bonding leave",0.0243978742215357,0.00135548136182722,"[ 0.022 , 0.027 ]",12556,704.491021944212,"[ 11,175 , 13,937 ]"
"Participated for any reason",0.0738912044458694,0.00220260668953,"[ 0.07 , 0.078 ]",38027,1171.26615250335,"[ 35,731 , 40,323 ]"
"Benefits Received ($), for own illness or maternal disability leave",305.322287684841,13.1245930174044,"[ 280 , 331 ]",157129535.522688,6835314.33504345,"[ 143,732,319 , 170,526,752 ]"
"Benefits Received ($), for for ill relative or child bonding leave",41.1853812461875,2.50683185384847,"[ 36 , 46 ]",21195438.6776317,1296909.7962272,"[ 18,653,495 , 23,737,382 ]"
"Benefits Received ($), total",346.507668931029,13.4381128552135,"[ 320 , 373 ]",178324974.20032,7015301.44810019,"[ 164,574,983 , 192,074,965 ]"
