"Method","Variable","Total_Predictions","True_Positives","True_Negatives","False_Positives","False_Negatives","Predicted_Mean","Predicted_SE","Predicted_CI_low","Predicted_CI_high","Actual_Mean","Actual_SE","Actual_CI_low","Actual_CI_high","Precision","Recall","Accuracy","Actual_Positives","Actual_Negatives","Predicted_Positives","Predicted_Negatives","Positives_Diff","Negatives_Diff","Rand_TP","Rand_TN","Rand_FP","Rand_FN","Rand_Precision","Rand_Recall","Rand_Accuracy","Precision_Index","Recall_Index","Accuracy_Index"
"random","pred_leave",29409181,10978306,2597598,5940027,9893249,0.575,0.0077,0.56,0.59,0.575,0.00774,0.6945,0.7249,0.65,0.526,0.46,20871555,8537625,16918333,12490847,3953222,-3953222,12006859.9570255,3626152.2419946,4911472.7580054,8864695.04297451,0.709695225839727,0.575273857507287,0.531569129061745,-0.0596952258397271,-0.0492738575072865,-0.0715691290617451
"random","need_own",29369055,394418,21833487,3017161,4123990,0.116,0.0047,0.107,0.125,0.116,0.00504,0.144,0.1637,0.12,0.087,0.76,4518408,24850648,3411579,25957477,1106829,-1106829,524868.976759109,21963938.7067475,2886709.29325251,3993539.02324089,0.153849314076362,0.116162368860694,0.765731376708417,-0.0338493140763622,-0.0291623688606937,-0.00573137670841728
"random","need_illspouse",20108168,0,19240879,545073,322216,0.027,0.0022,0.023,0.031,0.027,0.00126,0.0114,0.0163,0,0,0.96,322216,19785952,545073,19563095,-222857,222857,8734.32337386479,19249613.3233739,536338.676626135,313481.676626135,0.0160241350678988,0.0271070442618144,0.957737554547373,-0.0160241350678988,-0.0271070442618144,0.00226244545262744
"random","need_illchild",29369055,99527,27493978,358026,1417524,0.016,0.0013,0.013,0.018,0.016,0.00262,0.0465,0.0568,0.22,0.066,0.94,1517051,27852004,457553,28911502,1059498,-1059498,23634.7828080611,27418085.7828081,433918.217191938,1493416.21719194,0.0516547434025372,0.0155794253509349,0.934375333684251,0.168345256597463,0.0504205746490652,0.00562466631574887
"random","need_illparent",29369055,0,26948024,989927,1431104,0.034,0.0021,0.03,0.038,0.034,0.00265,0.0435,0.0539,0,0,0.92,1431104,27937951,989927,28379128,441177,-441177,48237.4556964124,26996261.4556964,941689.544303589,1382866.54430359,0.0487282958202093,0.033706464167812,0.920850157126023,-0.0487282958202093,-0.033706464167812,-0.000850157126023321
"random","need_matdis",6875472,0,6392660,105636,377176,0.015,0.0025,0.011,0.02,0.015,0.00206,0.0088,0.0169,0,0,0.93,377176,6498296,105636,6769836,271540,-271540,5795.00053756309,6398455.00053756,99840.9994624369,371380.999462437,0.0548581973717586,0.0153641815427363,0.931463323692559,-0.0548581973717586,-0.0153641815427363,-0.00146332369255897
"random","need_bond",12078268,0,11106364,836705,135198,0.069,0.0084,0.052,0.085,0.069,0.00073,0.0032,0.0061,0,0,0.92,135198,11943069,836705,11241562,-701507,701507,9365.65098489287,11115728.7314521,827340.268547941,125832.349015107,0.0111934800104224,0.0692735912135747,0.921083660630863,-0.0111934800104224,-0.0692735912135747,-0.00108366063086296
"random","pred_need",29409181,1811831,16683610,4339963,6573777,0.216,0.0052,0.206,0.226,0.216,0.00607,0.2732,0.297,0.29,0.216,0.63,8385608,21023573,6151794,23257387,2233814,-2233814,1754096.21168138,16625875.2116814,4397697.78831862,6631511.78831862,0.285135720032462,0.209179371571075,0.624973929854176,0.00486427996753797,0.00682062842892495,0.00502607014582424
"random","resp_len",29409181,7046583,8370923,7405302,6586372,0.491,0.0067,0.478,0.505,0.491,0.00664,0.4505,0.4766,0.49,0.517,0.52,13632955,15776225,14451885,14957295,-818930,818930,6699333.03719594,8023672.99216442,7752552.00783558,6933621.96280406,0.463561190552033,0.491407258162001,0.500626200028711,0.0264388094479666,0.0255927418379995,0.0193737999712894
"logit","pred_leave",29409181,12550356,2253718,6283907,8321200,0.6404,0.0082,0.6243,0.6566,0.6404,0.00774,0.6945,0.7249,0.666,0.601,0.5,20871556,8537625,18834263,10574918,2037293,-2037293,13366586.9485868,3069948.94858684,5467676.05141316,7504969.05141316,0.709695247888746,0.640421200440774,0.558891316870527,-0.043695247888746,-0.039421200440774,-0.0588913168705268
"logit","need_own",29369055,631818,21181391,3669257,3886589,0.1462,0.0054,0.1356,0.1569,0.1462,0.00504,0.144,0.1637,0.147,0.14,0.74,4518407,24850648,4301075,25067980,217332,-217332,661717.150501608,21211290.1505016,3639357.84949839,3856689.84949839,0.153849247107202,0.146449213296104,0.74476374200679,-0.00684924710720183,-0.00644921329610365,-0.00476374200678975
